Columna;Especie;Origen;Altitud;Variety;método;color
97;Arabica;Colombia;1700;Caturra;Washed / Wet;Green
98;Arabica;Mexico;1450;Typica;Semi-washed / Semi-pulped;Green
99;Arabica;Mexico;1170;Bourbon;Washed / Wet;Green
100;Arabica;Mexico;1400;Bourbon;Washed / Wet;Bluish-Green
101;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
102;Arabica;Costa Rica;1700;Caturra;Washed / Wet;Bluish-Green
103;Arabica;Guatemala;3664;Caturra;Washed / Wet;Green
104;Arabica;Guatemala;1565;Caturra;Washed / Wet;Green
105;Arabica;Guatemala;3280;Bourbon;Washed / Wet;Green
106;Arabica;Colombia;1600;Caturra;Washed / Wet;Bluish-Green
107;Arabica;Nicaragua;900;Caturra;Natural / Dry;Bluish-Green
108;Arabica;Costa Rica;1850;Caturra;Washed / Wet;Blue-Green
109;Arabica;Kenya;1500;SL28;Washed / Wet;Green
110;Arabica;Brazil;894;Mundo Novo;Natural / Dry;Green
111;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
112;Arabica;El Salvador;1500;Bourbon;Natural / Dry;Bluish-Green
113;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
114;Arabica;Colombia;442;Caturra;Washed / Wet;Green
115;Arabica;Taiwan;968;Typica;Washed / Wet;Bluish-Green
116;Arabica;Guatemala;1550;Bourbon;Washed / Wet;Bluish-Green
117;Arabica;Mexico;1480;Typica;Washed / Wet;Green
118;Arabica;Ethiopia;1800;Gesha;Natural / Dry;Green
119;Arabica;Honduras;1500;Caturra;Washed / Wet;Green
120;Arabica;Guatemala;4000;Bourbon;Natural / Dry;Green
121;Arabica;Guatemala;4000;Bourbon;Other;Green
122;Arabica;Colombia;1450;Caturra;Natural / Dry;Green
123;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
124;Arabica;Brazil;1260;Yellow Bourbon;Natural / Dry;Green
125;Arabica;Colombia;1700;Caturra;Washed / Wet;Green
126;Arabica;Kenya;1200;SL34;Washed / Wet;Green
127;Arabica;Kenya;1650;SL28;Washed / Wet;Bluish-Green
128;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
129;Arabica;Mexico;1300;Mundo Novo;Washed / Wet;Green
130;Arabica;Thailand;1350;Catimor;Natural / Dry;Bluish-Green
131;Arabica;Brazil;934;Bourbon;Natural / Dry;Green
