Columna;Especie;Origen;Altitud;Variety;método;color
420;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
421;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
422;Arabica;Mexico;1300;Typica;Washed / Wet;Green
423;Arabica;Guatemala;5500;Bourbon;Washed / Wet;Green
424;Arabica;Mexico;1170;Bourbon;Washed / Wet;Green
425;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
426;Arabica;Brazil;1100;Mundo Novo;Natural / Dry;Green
427;Arabica;Mexico;1200;Typica;Washed / Wet;Green
428;Arabica;Brazil;950;Mundo Novo;Washed / Wet;Green
429;Arabica;Colombia;442;Caturra;Natural / Dry;Green
430;Arabica;Brazil;1100;Catuai;Washed / Wet;Green
431;Arabica;Guatemala;1450;Pacas;Washed / Wet;Green
432;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
433;Arabica;El Salvador;1500;Bourbon;Washed / Wet;Green
434;Arabica;Honduras;1350;Catuai;Washed / Wet;Green
435;Arabica;Malawi;1180;Gesha;Washed / Wet;Blue-Green
436;Arabica;Brazil;1100;Bourbon;Natural / Dry;Green
437;Arabica;Taiwan;650;Typica;Washed / Wet;Green
438;Arabica;Mexico;1338;Mundo Novo;Washed / Wet;Blue-Green
439;Arabica;Guatemala;4563;Bourbon;Washed / Wet;Green
440;Arabica;Mexico;1170;Bourbon;Washed / Wet;Green
441;Arabica;Mexico;1250;Typica;Washed / Wet;Green
442;Arabica;Mexico;1100;Typica;Washed / Wet;Green
443;Arabica;Mexico;900;Typica;Washed / Wet;Green
444;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
445;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
446;Arabica;Brazil;934;Bourbon;Natural / Dry;Green
447;Arabica;Honduras;1500;Caturra;Washed / Wet;Bluish-Green
448;Arabica;Tanzania, United Republic Of;1500;Bourbon;Washed / Wet;Green
449;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
450;Arabica;Honduras;1350;Catuai;Washed / Wet;Green
451;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Blue-Green
452;Arabica;Taiwan;1200;Typica;Other;Green
453;Arabica;Taiwan;800;Typica;Washed / Wet;Green
454;Arabica;Colombia;1750;Caturra;Washed / Wet;Bluish-Green
455;Arabica;Mexico;1000;Typica;Washed / Wet;Green
456;Arabica;Mexico;1200;Typica;Washed / Wet;Green
457;Arabica;Brazil;894;Bourbon;Natural / Dry;Green
458;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
459;Arabica;Costa Rica;1200;Caturra;Washed / Wet;Blue-Green
460;Arabica;Tanzania, United Republic Of;1500;Bourbon;Washed / Wet;Green
461;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Green
462;Arabica;Mexico;1300;Typica;Washed / Wet;Green
463;Arabica;Mexico;1800;Typica;Washed / Wet;Green
464;Arabica;Mexico;1250;Typica;Washed / Wet;Green
465;Arabica;Mexico;1250;Typica;Washed / Wet;Green
466;Arabica;Honduras;1600;Caturra;Washed / Wet;Green
467;Arabica;Honduras;1600;Caturra;Natural / Dry;Green
468;Arabica;Brazil;944;Bourbon;Natural / Dry;Green
469;Arabica;Malawi;2500;Gesha;Washed / Wet;Bluish-Green
470;Arabica;Taiwan;600;Typica;Washed / Wet;Green
471;Arabica;Costa Rica;1200;Catuai;Washed / Wet;Green
472;Arabica;Honduras;1400;Caturra;Washed / Wet;Green
473;Arabica;Colombia;1800;Caturra;Washed / Wet;Green
474;Arabica;Taiwan;600;Typica;Washed / Wet;Bluish-Green
475;Arabica;Brazil;894;Mundo Novo;Natural / Dry;Blue-Green
476;Arabica;Mexico;940;Typica;Washed / Wet;Green
477;Arabica;Brazil;1000;Mundo Novo;Natural / Dry;Green
478;Arabica;Brazil;1050;Catuai;Semi-washed / Semi-pulped;Blue-Green
479;Arabica;Brazil;950;Mundo Novo;Semi-washed / Semi-pulped;Green
480;Arabica;Guatemala;4600;Bourbon;Washed / Wet;Green
481;Arabica;Guatemala;1901;Bourbon;Washed / Wet;Green
482;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
483;Arabica;Honduras;1400;Caturra;Washed / Wet;Green
484;Arabica;Brazil;1020;Catuai;Natural / Dry;Green
485;Arabica;El Salvador;1250;Bourbon;Washed / Wet;Green
486;Arabica;Guatemala;1300;Catuai;Washed / Wet;Green
487;Arabica;Taiwan;1000;Typica;Other;Green
488;Arabica;Mexico;1300;Bourbon;Washed / Wet;Green
489;Arabica;Mexico;1000;Bourbon;Washed / Wet;Green
490;Arabica;Brazil;1100;Mundo Novo;Natural / Dry;Green
491;Arabica;Guatemala;518;Bourbon;Washed / Wet;Green
492;Arabica;Costa Rica;1900;Catuai;Pulped natural / honey;Green
493;Arabica;Brazil;973;Mundo Novo;Natural / Dry;Green
494;Arabica;Guatemala;3280;Bourbon;Washed / Wet;Green
495;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
496;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
497;Arabica;Myanmar;4001;Catuai;Washed / Wet;Green
498;Arabica;Mexico;1350;Catuai;Washed / Wet;Green
499;Arabica;Honduras;1400;Catuai;Washed / Wet;Green
500;Arabica;Costa Rica;1200;Caturra;Washed / Wet;Green
501;Arabica;Taiwan;700;Typica;Washed / Wet;Green
502;Arabica;Malawi;1556;Gesha;Washed / Wet;Green
503;Arabica;Brazil;1100;Bourbon;Natural / Dry;Green
504;Arabica;Honduras;1350;Caturra;Natural / Dry;Green
505;Arabica;Mexico;1550;Typica;Washed / Wet;Green
506;Arabica;Colombia;1600;Caturra;Washed / Wet;Bluish-Green
507;Arabica;Brazil;1250;Bourbon;Semi-washed / Semi-pulped;Bluish-Green
508;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
509;Arabica;Mexico;1500;Bourbon;Washed / Wet;Green
510;Arabica;Mexico;1250;Typica;Semi-washed / Semi-pulped;Green
511;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
512;Arabica;Vietnam;1040;Caturra;Washed / Wet;Bluish-Green
513;Arabica;Mexico;1250;Mundo Novo;Washed / Wet;Green
514;Arabica;Mexico;1100;Typica;Washed / Wet;Green
515;Arabica;Mexico;1550;Caturra;Washed / Wet;Green
516;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
517;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
518;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
519;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
520;Arabica;Honduras;1450;Catuai;Washed / Wet;Blue-Green
521;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
522;Arabica;Brazil;1260;Bourbon;Washed / Wet;Green
523;Arabica;Honduras;1400;Caturra;Natural / Dry;Green
524;Arabica;Costa Rica;1850;Caturra;Washed / Wet;Green
525;Arabica;Taiwan;150;Typica;Semi-washed / Semi-pulped;Green
526;Arabica;Taiwan;750;Typica;Washed / Wet;Green
527;Arabica;Mexico;1400;Typica;Washed / Wet;Green
528;Arabica;Guatemala;5500;Bourbon;Washed / Wet;Green
529;Arabica;Mexico;1650;Typica;Washed / Wet;Green
530;Arabica;Mexico;1400;Bourbon;Washed / Wet;Green
531;Arabica;Mexico;1200;Bourbon;Washed / Wet;Green
532;Arabica;Mexico;1400;Bourbon;Washed / Wet;Green
533;Arabica;Mexico;940;Caturra;Semi-washed / Semi-pulped;Green
534;Arabica;Honduras;1200;Catimor;Washed / Wet;Blue-Green
535;Arabica;Taiwan;800;Typica;Washed / Wet;Blue-Green
536;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Green
537;Arabica;Malawi;1100;Gesha;Washed / Wet;Green
538;Arabica;Brazil;1260;Yellow Bourbon;Washed / Wet;Blue-Green
539;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
540;Arabica;Mexico;1400;Typica;Washed / Wet;Green
541;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
542;Arabica;Nicaragua;1100;Caturra;Other;Green
543;Arabica;Honduras;1400;Caturra;Washed / Wet;Green
544;Arabica;Taiwan;160;Typica;Natural / Dry;Green
545;Arabica;Myanmar;1219;Catuai;Washed / Wet;Green
546;Arabica;Costa Rica;1200;Caturra;Washed / Wet;Green
547;Arabica;Malawi;1599;Gesha;Washed / Wet;Green
548;Arabica;Brazil;1200;Yellow Bourbon;Semi-washed / Semi-pulped;Green
549;Arabica;Haiti;400;Blue Mountain;Washed / Wet;Bluish-Green
550;Arabica;Mexico;1150;Typica;Washed / Wet;Green
551;Arabica;Mexico;1600;Typica;Washed / Wet;Green
552;Arabica;Mexico;1100;Catuai;Washed / Wet;Green
553;Arabica;Mexico;1000;Typica;Semi-washed / Semi-pulped;Green
554;Arabica;Mexico;1250;Bourbon;Washed / Wet;Green
555;Arabica;Mexico;1100;Typica;Natural / Dry;Green
556;Arabica;Brazil;1.25;Bourbon;Semi-washed / Semi-pulped;Blue-Green
557;Arabica;Mexico;1100;Mundo Novo;Washed / Wet;Green
558;Arabica;Guatemala;4500;Catuai;Washed / Wet;Green
559;Arabica;Brazil;1100;Catuai;Natural / Dry;Green
560;Arabica;Honduras;1400;Catuai;Washed / Wet;Green
561;Arabica;Taiwan;110;Typica;Washed / Wet;Green
562;Arabica;Malawi;1422;Gesha;Washed / Wet;Bluish-Green
563;Arabica;Brazil;1100;Bourbon;Natural / Dry;Green
564;Arabica;Guatemala;1550;Bourbon;Washed / Wet;Green
565;Arabica;Mexico;1550;Typica;Washed / Wet;Green
566;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
567;Arabica;Colombia;1750;Caturra;Natural / Dry;Green
568;Arabica;Honduras;1500;Caturra;Washed / Wet;Bluish-Green
569;Arabica;Brazil;1100;Catuai;Natural / Dry;Green
570;Arabica;Honduras;1350;Catuai;Washed / Wet;Green
571;Arabica;Brazil;1200;Yellow Bourbon;Other;Green
572;Arabica;Malawi;1200;Gesha;Washed / Wet;Green
573;Arabica;Honduras;1450;Catuai;Washed / Wet;Green
574;Arabica;Mexico;1800;Typica;Washed / Wet;Green
575;Arabica;Taiwan;680;Typica;Natural / Dry;Green
576;Arabica;Nicaragua;1100;Catuai;Washed / Wet;Green
577;Arabica;Honduras;1400;Catuai;Washed / Wet;Green
578;Arabica;Guatemala;1700;Pacamara;Washed / Wet;Bluish-Green
579;Arabica;Taiwan;650;Typica;Semi-washed / Semi-pulped;Green
580;Arabica;Guatemala;1524;Caturra;Washed / Wet;Green
581;Arabica;Mexico;1500;Typica;Washed / Wet;Green
582;Arabica;Tanzania, United Republic Of;2000;Bourbon;Washed / Wet;Green
583;Arabica;Mexico;1200;Caturra;Washed / Wet;Green
584;Arabica;Costa Rica;1200;Caturra;Washed / Wet;Bluish-Green
585;Arabica;Honduras;1450;Catuai;Natural / Dry;Green
586;Arabica;Thailand;1400;Caturra;Washed / Wet;Blue-Green
587;Arabica;Tanzania, United Republic Of;1550;Bourbon;Washed / Wet;Bluish-Green
588;Arabica;Malawi;990;Caturra;Washed / Wet;Green
589;Arabica;Costa Rica;1200;Catuai;Washed / Wet;Green
590;Arabica;Mexico;1800;Typica;Natural / Dry;Green
591;Arabica;Guatemala;1450;Caturra;Washed / Wet;Green
592;Arabica;Brazil;1000;Mundo Novo;Natural / Dry;Green
593;Arabica;Brazil;695;Mundo Novo;Natural / Dry;Green
594;Arabica;Costa Rica;1500;Caturra;Washed / Wet;Green
595;Arabica;Mexico;1300;Typica;Washed / Wet;Green
596;Arabica;Mexico;1642;Typica;Washed / Wet;Green
597;Arabica;Mexico;1200;Typica;Washed / Wet;Green
598;Arabica;El Salvador;1450;Bourbon;Washed / Wet;Green
599;Arabica;Guatemala;3280;Bourbon;Washed / Wet;Green
600;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
601;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
602;Arabica;Taiwan;758;Typica;Washed / Wet;Bluish-Green
603;Arabica;Honduras;1350;Caturra;Natural / Dry;Green
604;Arabica;Uganda;1700;SL14;Natural / Dry;Green
605;Arabica;Taiwan;1100;Typica;Semi-washed / Semi-pulped;Green
606;Arabica;Mexico;1100;Typica;Washed / Wet;Green
607;Arabica;Guatemala;1901;Bourbon;Washed / Wet;Green
608;Arabica;Kenya;1600;SL28;Washed / Wet;Green
609;Arabica;Mexico;1100;Bourbon;Washed / Wet;Green
610;Arabica;Brazil;1200;Yellow Bourbon;Natural / Dry;Green
611;Arabica;Taiwan;550;Typica;Washed / Wet;Green
612;Arabica;Nicaragua;700;Caturra;Washed / Wet;Green
613;Arabica;Guatemala;5000;Pacas;Washed / Wet;Green
614;Arabica;Taiwan;688;Typica;Other;Green
615;Arabica;Taiwan;300;Typica;Washed / Wet;Green
616;Arabica;Mexico;1186;Typica;Washed / Wet;Green
617;Arabica;Laos;1300;Catimor;Washed / Wet;Green
618;Arabica;Guatemala;1200;Caturra;Washed / Wet;Green
619;Arabica;Mexico;1210;Catuai;Semi-washed / Semi-pulped;Green
620;Arabica;Mexico;1100;Typica;Washed / Wet;Green
621;Arabica;Mexico;100;Bourbon;Washed / Wet;Green
622;Arabica;Myanmar;3825;Catuai;Washed / Wet;Green
623;Arabica;Guatemala;5760;Caturra;Washed / Wet;Green
624;Arabica;Honduras;1450;Caturra;Natural / Dry;Green
625;Arabica;Honduras;1350;Catuai;Washed / Wet;Green
626;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Green
627;Arabica;Mexico;1200;Typica;Washed / Wet;Green
628;Arabica;Haiti;1000;Typica;Washed / Wet;Green
629;Arabica;Indonesia;1200;Mandheling;Semi-washed / Semi-pulped;Blue-Green
630;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Green
631;Arabica;Malawi;990;Caturra;Washed / Wet;Bluish-Green
632;Arabica;Mexico;1200;Typica;Washed / Wet;Green
633;Arabica;Guatemala;1550;Bourbon;Washed / Wet;Green
634;Arabica;Brazil;1200;Bourbon;Semi-washed / Semi-pulped;Green
635;Arabica;Honduras;1400;Caturra;Washed / Wet;Green
636;Arabica;Guatemala;4540;Bourbon;Natural / Dry;Green
637;Arabica;Guatemala;1500;Caturra;Washed / Wet;Green
638;Arabica;Honduras;1650;Catuai;Washed / Wet;Green
639;Arabica;Brazil;1250;Yellow Bourbon;Semi-washed / Semi-pulped;Green
640;Arabica;Guatemala;6100;Bourbon;Washed / Wet;Green
641;Arabica;Taiwan;600;Typica;Washed / Wet;Green
642;Arabica;El Salvador;1450;Bourbon;Washed / Wet;Green
643;Arabica;Mexico;1050;Typica;Washed / Wet;Green
644;Arabica;Mexico;1550;Caturra;Washed / Wet;Green
645;Arabica;Tanzania, United Republic Of;1700;Bourbon;Washed / Wet;Green
646;Arabica;Taiwan;600;Yellow Bourbon;Other;Green
647;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
648;Arabica;Mexico;940;Typica;Semi-washed / Semi-pulped;Green
649;Arabica;Brazil;995;Catuai;Natural / Dry;Green
650;Arabica;Honduras;1400;Caturra;Natural / Dry;Green
651;Arabica;Mexico;1600;Caturra;Washed / Wet;Green
652;Arabica;Myanmar;4287;Catuai;Natural / Dry;Green
653;Arabica;Nicaragua;900;Caturra;Washed / Wet;Green
654;Arabica;Taiwan;700;Typica;Semi-washed / Semi-pulped;Green
655;Arabica;Guatemala;1400;Caturra;Washed / Wet;Green
656;Arabica;Honduras;1400;Catuai;Washed / Wet;Green
657;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
658;Arabica;Mexico;1250;Typica;Washed / Wet;Green
659;Arabica;Mexico;1550;Typica;Washed / Wet;Green
660;Arabica;Mexico;1000;Bourbon;Washed / Wet;Green
661;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
662;Arabica;Brazil;1100;Bourbon;Pulped natural / honey;Green
663;Arabica;Taiwan;850;Typica;Washed / Wet;Green
664;Arabica;Taiwan;150;Typica;Washed / Wet;Green
665;Arabica;Taiwan;250;Typica;Semi-washed / Semi-pulped;Green
666;Arabica;Mexico;1300;Typica;Washed / Wet;Green
667;Arabica;Nicaragua;1250;Caturra;Washed / Wet;Green
668;Arabica;Mexico;1300;Typica;Washed / Wet;Green
669;Arabica;Taiwan;250;Typica;Washed / Wet;Green
670;Arabica;Mexico;1250;Typica;Washed / Wet;Green
671;Arabica;Mexico;1300;Bourbon;Washed / Wet;Green
672;Arabica;Mexico;1100;Catuai;Washed / Wet;Green
673;Arabica;Mexico;1250;Typica;Natural / Dry;Green
674;Arabica;Mexico;1250;Mundo Novo;Washed / Wet;Green
675;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
676;Arabica;Nicaragua;1250;Caturra;Washed / Wet;Green
677;Arabica;Mexico;1300;Typica;Washed / Wet;Green
678;Arabica;Guatemala;1901;Bourbon;Washed / Wet;Green
679;Arabica;Taiwan;500;Typica;Washed / Wet;Blue-Green
680;Arabica;Costa Rica;1100;Catuai;Washed / Wet;Bluish-Green
681;Arabica;Mexico;1400;Typica;Washed / Wet;Green
682;Arabica;Mexico;1022;Bourbon;Washed / Wet;Green
683;Arabica;Mexico;1300;Bourbon;Washed / Wet;Green
684;Arabica;Mexico;1050;Typica;Washed / Wet;Green
685;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
686;Arabica;El Salvador;1250;Bourbon;Washed / Wet;Bluish-Green
687;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
688;Arabica;Mexico;1400;Typica;Washed / Wet;Green
689;Arabica;Mexico;1550;Caturra;Washed / Wet;Green
690;Arabica;Nicaragua;1050;Caturra;Natural / Dry;Green
691;Arabica;Colombia;1550;Caturra;Washed / Wet;Green
692;Arabica;Mexico;1550;Caturra;Washed / Wet;Green
693;Arabica;Mexico;1100;Typica;Washed / Wet;Bluish-Green
694;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
695;Arabica;Mexico;800;Typica;Washed / Wet;Green
696;Arabica;Colombia;1200;Caturra;Washed / Wet;Green
697;Arabica;Mexico;750;Typica;Washed / Wet;Green
698;Arabica;Taiwan;850;Typica;Washed / Wet;Blue-Green
699;Arabica;Mexico;1000;Bourbon;Washed / Wet;Green
700;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
701;Arabica;Honduras;1650;Catuai;Washed / Wet;Green
702;Arabica;Guatemala;1320;Bourbon;Washed / Wet;Green
703;Arabica;Guatemala;1300;Catuai;Washed / Wet;Green
704;Arabica;Mexico;1450;Typica;Washed / Wet;Green
705;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
706;Arabica;Mexico;1100;Mundo Novo;Washed / Wet;Green
707;Arabica;Mexico;1200;Typica;Washed / Wet;Bluish-Green
708;Arabica;Honduras;1350;Pacas;Washed / Wet;Green
709;Arabica;Mexico;1550;Typica;Semi-washed / Semi-pulped;Green
710;Arabica;Mexico;12oo;Typica;Washed / Wet;Green
711;Arabica;Mexico;1300;Typica;Washed / Wet;Green
712;Arabica;Nicaragua;1100;Caturra;Other;Green
713;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
714;Arabica;Mexico;1320;Typica;Washed / Wet;Green
715;Arabica;China;1850;Typica;Washed / Wet;Green
716;Arabica;Taiwan;800;Typica;Washed / Wet;Green
717;Arabica;Mexico;1400;Typica;Washed / Wet;Green
718;Arabica;Mexico;1600;Bourbon;Washed / Wet;Green
719;Arabica;Mexico;1200;Caturra;Washed / Wet;Green
720;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
721;Arabica;Mexico;1300;Typica;Natural / Dry;Green
722;Arabica;Mexico;1050;Typica;Washed / Wet;Green
723;Arabica;Taiwan;650;Yellow Bourbon;Washed / Wet;Green
724;Arabica;Honduras;1350;Pacas;Natural / Dry;Green
725;Arabica;China;1200;Typica;Washed / Wet;Green
726;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
727;Arabica;Costa Rica;1200;Caturra;Washed / Wet;Green
728;Arabica;Mexico;1248;Typica;Washed / Wet;Green
729;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
730;Arabica;Taiwan;750;Typica;Washed / Wet;Bluish-Green
731;Arabica;Mexico;1300;Typica;Washed / Wet;Green
732;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
733;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
734;Arabica;Peru;900;Caturra;Washed / Wet;Green
735;Arabica;Mexico;1100;Typica;Washed / Wet;Green
736;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
737;Arabica;Mexico;1250;Bourbon;Washed / Wet;Green
738;Arabica;Honduras;1350;Pacas;Natural / Dry;Green
739;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
740;Arabica;Mexico;1100;Pacamara;Washed / Wet;Green
741;Arabica;Mexico;1200;Mundo Novo;Washed / Wet;Green
742;Arabica;Mexico;1280;Typica;Washed / Wet;Bluish-Green
743;Arabica;Mexico;850;Typica;Washed / Wet;Green
744;Arabica;Mexico;1250;Typica;Washed / Wet;Green
745;Arabica;Mexico;1700;Typica;Washed / Wet;Green
746;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
747;Arabica;Mexico;1140;Typica;Washed / Wet;Green
748;Arabica;Mexico;1250;Typica;Washed / Wet;Green
749;Arabica;Honduras;1350;Pacas;Washed / Wet;Green
750;Arabica;Costa Rica;1200;Caturra;Washed / Wet;Green
751;Arabica;Mexico;800;Mundo Novo;Washed / Wet;Green
752;Arabica;Mexico;1800;Bourbon;Washed / Wet;Green
753;Arabica;Mexico;1000;Typica;Washed / Wet;Green
754;Arabica;Honduras;1450;Catuai;Washed / Wet;Green
755;Arabica;Honduras;1450;Catuai;Washed / Wet;Green
756;Arabica;Honduras;1450;Catuai;Washed / Wet;Green
757;Arabica;Haiti;350;Typica;Natural / Dry;Blue-Green
758;Arabica;Guatemala;4650;Catuai;Washed / Wet;Green
